Fecha_Hora,Escenario,Conexion,VPN,Posicion_Esperada,Latitud,Longitud,Precision_m,Tiempo_Obtencion_ms,Tiempo_Consulta_Config_ms,Distancia_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
"2026-08-02T20:06:08.907Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""162.60"",""1447.20"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:09.472Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""147.30"",""1494.00"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:10.041Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""154.30"",""1584.40"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:10.752Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""146.80"",""1823.80"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:11.367Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""123.60"",""2066.60"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:12.183Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""120.60"",""2517.20"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:12.903Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""153.00"",""2820.80"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:13.517Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""128.90"",""3081.60"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:17.554Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288431"",""-79.213275"",""99.00"",""730.40"",""946.90"",""6.90"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:18.228Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288431"",""-79.213275"",""99.00"",""1153.00"",""1619.80"",""6.90"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:18.883Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288431"",""-79.213275"",""99.00"",""238.00"",""2275.40"",""6.90"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:19.934Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288431"",""-79.213275"",""99.00"",""129.80"",""2717.00"",""6.90"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:20.375Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288431"",""-79.213275"",""99.00"",""145.60"",""1014.90"",""6.90"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:21.298Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288431"",""-79.213275"",""99.00"",""143.30"",""1236.70"",""6.90"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:23.142Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288431"",""-79.213275"",""99.00"",""121.50"",""1140.10"",""6.90"",""10"",""Aceptada"",""Sí"","""""
